"amphurEN","amphurTH","changwat","lat","long","pop","area","zip","province_id"
"Pom Prap Sattru Phai","ป้อมปราบศัตรูพ่าย","Krung Thep Maha Nakhon","13.75806","100.51306","72040","37307","10100","10"
"Samphanthawong","สัมพันธวงศ์","Krung Thep Maha Nakhon","13.73139","100.51417","35547","25104","10100","10"
"Khlong Toei","คลองเตย","Krung Thep Maha Nakhon","13.70806","100.58389","159527","12271.3","10110","10"
"Watthana","วัฒนา","Krung Thep Maha Nakhon","13.74222","100.58583","82582","6.572","10110","10"
"Bang Kho Laem","บางคอแหลม","Krung Thep Maha Nakhon","13.69333","100.50250","106499","9752","10120","10"
"Sathon","สาทร","Krung Thep Maha Nakhon","13.70806","100.52639","107159","11490","10120","10"
"Yan Nawa","ยานนาวา","Krung Thep Maha Nakhon","13.69694","100.54306","88986","5.341","10120","10"
"Phra Pradaeng","พระประแดง","Samut Prakan","13.65833","100.53389","207141","2822","10130","10"
"Rat Burana","ราษฎร์บูรณะ","Krung Thep Maha Nakhon","13.68222","100.50556","95041","6022","10140","10"
"Thung Khru","ทุ่งครุ","Krung Thep Maha Nakhon","13.633308","100.49572","104827","3410","10140","10"
"Bang Bon","บางบอน","Thung Saliam","18.694992","98.78977","93225","2683","10150","10"
"Bang Khun Thian","บางขุนเทียน","Krung Thep Maha Nakhon","13.66083","100.43583","161642","1339.34","10150","10"
"Chom Thong","จอมทอง","Krung Thep Maha Nakhon","13.677222","100.484722","167794","6389","10150","10"
"Bang Khae","บางแค","Krung Thep Maha Nakhon","13.69611","100.40944","193449","4352","10160","10"
"Nong Khaem","หนองแขม","Krung Thep Maha Nakhon","13.70472","100.34889","125545","3504","10160","10"
"Phasi Charoen","ภาษีเจริญ","Krung Thep Maha Nakhon","13.71472","100.43722","137473","7708","10160","10"
"Taling Chan","ตลิ่งชัน","Krung Thep Maha Nakhon","13.77694","100.45667","105.202","3536","10170","10"
"Thawi Watthana","ทวีวัฒนา","Krung Thep Maha Nakhon","13.776111","100.320833","61177","1218","10170","10"
"Phra Nakhon","พระนคร","Krung Thep Maha Nakhon","13.76444","100.49917","61374","11158.9","10200","10"
"Prawet","ประเวศ","Krung Thep Maha Nakhon","13.71694","100.69444","134189","2556","10200","10"
"Don Mueang","ดอนเมือง","Krung Thep Maha Nakhon","13.91361","100.58972","157989","4293","10210","10"
"Lak Si","หลักสี่","Krung Thep Maha Nakhon","13.88750","100.57889","117163","5130","10210","10"
"Bang Khen","บางเขน","Krung Thep Maha Nakhon","13.87389","100.59639","177062","4203","10220","10"
"Sai Mai","สายไหม","Krung Thep Maha Nakhon","13.91917","100.64583","161749","3625","10220","10"
"Khan Na Yao","คันนายาว","Krung Thep Maha Nakhon","13.873889","100.596389","88986","5341","10230","10"
"Bang Kapi","บางกะปิ","Krung Thep Maha Nakhon","13.76583","100.64778","147694","5178","10240","10"
"Bueng Kum","บึงกุ่ม","Krung Thep Maha Nakhon","13.78528","100.66917","138340","5690","10240","10"
"Saphan Sung","สะพานสูง","Krung Thep Maha Nakhon","13.77000","100.68472","81784","2908","10240","10"
"Suan Luang","สวนหลวง","Krung Thep Maha Nakhon","13.73028","100.65139","114940","4.854","10250","10"
"Bang Na","บางนา","Krung Thep Maha Nakhon","13.66722","100.64194","101737","5415","10260","10"
"Phra Khanong","พระโขนง","Krung Thep Maha Nakhon","13.70222","100.60167","98957","7075","10260","10"
"Mueang Samut Prakan","เมืองสมุทรปราการ","Samut Prakan","13.60056","100.59667","460141","2415","10270",9
"Phra Samut Chedi","พระสมุทรเจดีย์","Samut Prakan","13.56861","100.56167","100022","830.9","10290",9
"Dusit","ดุสิต","Krung Thep Maha Nakhon","13.77694","100.52056","175658","16416.6","10300","10"
"Huai Khwang","ห้วยขวาง","Krung Thep Maha Nakhon","13.77667","100.57944","90185","6012","10310","10"
"Lat Phrao","ลาดพร้าว","Krung Thep Maha Nakhon","13.80361","100.60750","119838","5574","10310","10"
"Wang Thonglang","วังทองหลาง","Krung Thep Maha Nakhon","18.694992","98.78977","114940","4.854","10310","10"
"Pathum Wan","ปทุมวัน","Krung Thep Maha Nakhon","13.73667","100.52333","97533","11654","10330","10"
"Din Daeng","ดินแดง","Krung Thep Maha Nakhon","13.76972","100.55278","186319","22180","10400","10"
"Phaya Thai","พญาไท","Krung Thep Maha Nakhon","13.78000","100.54278","90557","9.438","10400","10"
"Ratchathewi","ราชเทวี","Krung Thep Maha Nakhon","13.75889","100.53444","101892","14299","10400","10"
"Bang Rak","บางรัก","Krung Thep Maha Nakhon","13.73083","100.52417","60485","10926","10500","10"
"Khlong Sam Wa","คลองสามวา","Krung Thep Maha Nakhon","13.85972","100.70417","124476","1125","10510","10"
